arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-1980.gr;DIJKSTRA;LISTA;10;2,7464
sample100-1980.gr;DIJKSTRA;LISTA;11;2,6893
sample100-1980.gr;DIJKSTRA;MATRIZ;1;3,2091
sample100-1980.gr;DIJKSTRA;MATRIZ;2;4,4820
sample100-1980.gr;DIJKSTRA;MATRIZ;3;2,5635
sample100-1980.gr;DIJKSTRA;MATRIZ;4;2,9935
sample100-1980.gr;DIJKSTRA;MATRIZ;5;3,9293
sample100-1980.gr;DIJKSTRA;MATRIZ;6;2,5270
sample100-1980.gr;DIJKSTRA;MATRIZ;7;3,2833
sample100-1980.gr;DIJKSTRA;MATRIZ;8;3,2502
sample100-1980.gr;DIJKSTRA;MATRIZ;9;2,9862
sample100-1980.gr;DIJKSTRA;MATRIZ;10;3,1075
sample100-1980.gr;DIJKSTRA;MATRIZ;11;3,0751
sample100-1980.gr;BELLMANFORD;LISTA;1;8,1139
sample100-1980.gr;BELLMANFORD;LISTA;2;6,0758
sample100-1980.gr;BELLMANFORD;LISTA;3;6,6830
sample100-1980.gr;BELLMANFORD;LISTA;4;5,8188
sample100-1980.gr;BELLMANFORD;LISTA;5;5,7854
sample100-1980.gr;BELLMANFORD;LISTA;6;5,5952
sample100-1980.gr;BELLMANFORD;LISTA;7;3,1674
sample100-1980.gr;BELLMANFORD;LISTA;8;3,0261
sample100-1980.gr;BELLMANFORD;LISTA;9;3,4899
sample100-1980.gr;BELLMANFORD;LISTA;10;3,1280
sample100-1980.gr;BELLMANFORD;LISTA;11;2,7147
sample100-1980.gr;BELLMANFORD;MATRIZ;1;19,6431
sample100-1980.gr;BELLMANFORD;MATRIZ;2;11,9902
sample100-1980.gr;BELLMANFORD;MATRIZ;3;7,9669
sample100-1980.gr;BELLMANFORD;MATRIZ;4;6,8420
sample100-1980.gr;BELLMANFORD;MATRIZ;5;7,5043
sample100-1980.gr;BELLMANFORD;MATRIZ;6;10,1171
sample100-1980.gr;BELLMANFORD;MATRIZ;7;7,9480
sample100-1980.gr;BELLMANFORD;MATRIZ;8;7,3886
sample100-1980.gr;BELLMANFORD;MATRIZ;9;7,4176
sample100-1980.gr;BELLMANFORD;MATRIZ;10;8,6870
sample100-1980.gr;BELLMANFORD;MATRIZ;11;8,1367
sample100-1980.gr;FLOYDWARSHALL;LISTA;1;200,8275
sample100-1980.gr;FLOYDWARSHALL;LISTA;2;167,4896
sample100-1980.gr;FLOYDWARSHALL;LISTA;3;204,6996
sample100-1980.gr;FLOYDWARSHALL;LISTA;4;177,1809
sample100-1980.gr;FLOYDWARSHALL;LISTA;5;205,0151
sample100-1980.gr;FLOYDWARSHALL;LISTA;6;173,9392
sample100-1980.gr;FLOYDWARSHALL;LISTA;7;178,2525
sample100-1980.gr;FLOYDWARSHALL;LISTA;8;190,9534
sample100-1980.gr;FLOYDWARSHALL;LISTA;9;282,8677
sample100-1980.gr;FLOYDWARSHALL;LISTA;10;281,7585
sample100-1980.gr;FLOYDWARSHALL;LISTA;11;181,4579
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;1;175,7064
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;2;170,3283
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;3;193,4985
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;4;179,7996
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;5;189,5934
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;6;179,6903
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;7;186,2696
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;8;176,1974
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;9;200,4076
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;10;159,8659
sample100-1980.gr;FLOYDWARSHALL;MATRIZ;11;196,0199
sample100-3960.gr;BFS;LISTA;1;2,8970
sample100-3960.gr;BFS;LISTA;2;2,5834
sample100-3960.gr;BFS;LISTA;3;2,5663
sample100-3960.gr;BFS;LISTA;4;2,5626
sample100-3960.gr;BFS;LISTA;5;2,5178
sample100-3960.gr;BFS;LISTA;6;2,5118
sample100-3960.gr;BFS;LISTA;7;2,5435
sample100-3960.gr;BFS;LISTA;8;2,4999
sample100-3960.gr;BFS;LISTA;9;2,5141
sample100-3960.gr;BFS;LISTA;10;3,0510
sample100-3960.gr;BFS;LISTA;11;2,4833
sample100-3960.gr;BFS;MATRIZ;1;2,6627
sample100-3960.gr;BFS;MATRIZ;2;2,5964
sample100-3960.gr;BFS;MATRIZ;3;2,7559
sample100-3960.gr;BFS;MATRIZ;4;2,8805
sample100-3960.gr;BFS;MATRIZ;5;3,4282
sample100-3960.gr;BFS;MATRIZ;6;2,4940
sample100-3960.gr;BFS;MATRIZ;7;2,4619
sample100-3960.gr;BFS;MATRIZ;8;2,4627
sample100-3960.gr;BFS;MATRIZ;9;2,4321
sample100-3960.gr;BFS;MATRIZ;10;2,6631
sample100-3960.gr;BFS;MATRIZ;11;2,3868
sample100-3960.gr;DFS;LISTA;1;2,4835
sample100-3960.gr;DFS;LISTA;2;2,2956
sample100-3960.gr;DFS;LISTA;3;2,2590
sample100-3960.gr;DFS;LISTA;4;2,2704
sample100-3960.gr;DFS;LISTA;5;2,4064
sample100-3960.gr;DFS;LISTA;6;2,3358
sample100-3960.gr;DFS;LISTA;7;2,3420
sample100-3960.gr;DFS;LISTA;8;2,3613
sample100-3960.gr;DFS;LISTA;9;2,2537
